Journal,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
AJHP,266,129,11,9,42,25,34,66,64,38,40,3,5,27,9,6,3,24,11,9,17,12,17,4,6,13,4,0,22,1,1,21,23,3,4,9,7,9,4,0,5,8,13,3,0,2,1,2,16,4,0,0,1,0,2,15,10,6,8,0,4,0,0,1,13,1,7,2,1,0,0,0,2
HEB,262,74,18,19,30,28,25,13,2,25,16,8,24,6,16,21,31,10,10,13,2,12,3,2,0,13,7,1,6,1,2,8,4,7,9,7,13,11,13,13,8,8,7,0,8,0,15,1,3,12,11,1,1,0,0,3,5,4,3,1,9,5,5,7,1,3,4,5,2,2,9,0,2
HER,83,77,5,10,19,24,14,6,3,17,10,11,25,0,13,16,0,11,1,10,2,9,5,6,0,5,22,0,0,1,1,0,0,9,3,7,5,3,4,2,6,4,0,0,7,0,4,4,0,0,2,0,1,2,0,0,1,6,3,1,0,3,2,4,0,0,0,0,1,2,0,0,0
HPI,410,72,161,154,33,41,43,30,26,15,21,59,12,29,19,12,18,3,19,5,15,3,10,23,29,2,0,32,5,29,27,1,3,10,12,2,0,1,3,8,4,3,2,19,7,20,1,14,2,5,7,19,17,18,17,0,2,1,3,15,4,9,10,5,2,12,5,9,12,12,7,16,11
